name,recipe_link,ingredients,category,prep-time,budget,review count,rating,difficulty,steps_count
Meringue : recette facile,https://www.marmiton.org/recettes/recette_meringue-pour-les-nuls_36610.aspx,"['sucre semoule', ""blancs d'oeuf""]",gâteau,0,bon marché,1798,4.8,très facile,12
Far breton aux pruneaux,https://www.marmiton.org/recettes/recette_far-breton-aux-pruneaux_19101.aspx,"['pruneaux', 'sucre', 'farine', 'oeufs', 'sucre vanillé', 'lait']",flan,0,bon marché,545,4.5,facile,6
'The' tarte aux fraises,https://www.marmiton.org/recettes/recette_the-tarte-aux-fraises_22726.aspx,"['sel', 'sucre', 'beurre', 'farine', ""jaunes d'oeuf"", 'eau', 'fraises', 'sucre', 'farine', 'lait', 'oeuf', 'sucre vanillé']",tarte,0,bon marché,691,4.7,très facile,10
Compote de pomme simple,https://www.marmiton.org/recettes/recette_compote-de-pomme-simple_82104.aspx,"['sucre', 'vanille', 'pomme', 'eau']",compote,0,bon marché,87,3.6,très facile,4
Tarte tatin,https://www.marmiton.org/recettes/recette_tarte-tatin_12456.aspx,"['sucre en poudre', 'beurre', 'pâte feuilletée', 'pommes', 'sucre vanillé', 'cannelle']",tarte,0,bon marché,560,4.6,facile,9
Riz au lait de ma maman,https://www.marmiton.org/recettes/recette_riz-au-lait-de-ma-maman_20380.aspx,"['orange', 'sucre', 'lait', 'riz blanc', 'sucre vanillé', 'citron']",crème,0,bon marché,643,4.9,très facile,4
Génoise ultra-rapide et pourtant si aérienne...,https://www.marmiton.org/recettes/recette_genoise-ultra-rapide-et-pourtant-si-aerienne_49844.aspx,"['levure chimique', 'farine', 'sucre', 'oeufs']",gâteau,0,bon marché,902,4.9,facile,9
Tiramisu aux speculoos,https://www.marmiton.org/recettes/recette_tiramisu-aux-speculoos_36386.aspx,"['amaretto', 'spéculoos', 'sucre roux', 'mascarpone', 'sucre vanillé', 'oeufs', 'café', 'cacao']",gâteau,0,bon marché,661,4.8,facile,7
Cookies aux pépites de chocolat super moelleux,https://www.marmiton.org/recettes/recette_cookies-aux-pepites-de-chocolat-super-moelleux_57330.aspx,"['sel', 'levure', 'sucre semoule', 'farine', 'chocolat', 'beurre', 'oeufs', 'sucre brun']",gâteau,0,bon marché,782,4.7,très facile,10
Mug cake fondant au chocolat,https://www.marmiton.org/recettes/recette_mug-cake-fonfant-au-chocolat_329684.aspx,"['farine', 'sucre', 'beurre', 'chocolat noir', 'oeuf']",gâteau,0,bon marché,587,4.6,très facile,6
